Plurals              Percentages 
writings             11.5384615385 
hordes               50.0 
woods                30.3797468354 
Woodwards            50.0 
Tiles                5.88235294118 
Spectators           10.0 
herpetologists       66.6666666667 
Manufacturers        4.16666666667 
orthographies        25.0 
aggregations         50.0 
Visitors             13.3333333333 
Belgians             61.7647058824 
mutinies             25.0 
homemakers           25.0 
meadows              29.4117647059 
oceans               8.57142857143 
forties              14.6341463415 
basics               0.602409638554 
liaisons             16.6666666667 
specialties          50.0 
coolers              20.0 
deferments           50.0 
gaskets              20.0 
tires                30.303030303 
miniatures           10.0 
resignations         12.5 
errors               54.6666666667 
fingers              62.2641509434 
Guerrillas           14.2857142857 
outfielders          25.0 
sittings             2.04081632653 
exclamations         25.0 
shocks               11.4285714286 
legations            50.0 
chins                7.40740740741 
mailings             25.0 
Fees                 11.1111111111 
atoms                51.3157894737 
punks                33.3333333333 
kids                 35.632183908 
chlorides            16.6666666667 
reports              28.384279476 
natures              2.13903743316 
precincts            45.4545454545 
beneficiaries        60.0 
opponents            44.4444444444 
Irishmen             50.0 
abbreviations        50.0 
distortions          22.2222222222 
sermons              16.6666666667 
pinpoints            16.6666666667 
females              25.3731343284 
populations          5.59440559441 
gashes               66.6666666667 
smelts               25.0 
schoolboys           25.0 
Cases                0.280898876404 
circumstances        87.2340425532 
rulings              9.52380952381 
leadings             1.44927536232 
temperatures         16.0256410256 
concepts             23.8532110092 
revenues             57.7777777778 
fames                5.55555555556 
Frosts               14.2857142857 
misfortunes          9.09090909091 
vanities             12.5 
nitrates             25.0 
dragons              50.0 
stupidities          11.1111111111 
hog                  33.3333333333 
Dreisers             50.0 
handguns             25.0 
comedians            33.3333333333 
forefingers          14.2857142857 
shores               16.3636363636 
dinosaurs            50.0 
types                36.9281045752 
calves               33.3333333333 
Bananas              20.0 
youths               11.6279069767 
headquarters         33.3333333333 
Walkers              5.55555555556 
cigarettes           32.4324324324 
specks               25.0 
keeps                0.711743772242 
farmlands            50.0 
evocations           66.6666666667 
senators             57.1428571429 
Criminals            5.0 
hallelujahs          50.0 
Expenditures         16.6666666667 
Ruffians             33.3333333333 
auditors             75.0 
survivors            88.8888888889 
anticipations        13.0434782609 
nobles               4.16666666667 
dissolutions         25.0 
Implements           20.0 
thrones              25.0 
riggers              50.0 
recollections        37.5 
effects              33.2288401254 
Sets                 0.471698113208 
schools              31.0743801653 
slats                33.3333333333 
renditions           75.0 
dumps                20.0 
crops                44.7368421053 
loyalties            12.5 
snakes               35.3846153846 
series               7.37704918033 
bowls                13.0434782609 
parasites            80.0 
currencies           27.2727272727 
Crowds               3.7037037037 
shutdowns            50.0 
misrepresentations   33.3333333333 
strata               40.0 
Blessings            9.09090909091 
faculties            6.41025641026 
grapes               62.5 
sensors              66.6666666667 
shelves              40.0 
ministries           30.0 
musicians            62.9032258065 
speeds               12.7659574468 
steroids             66.6666666667 
sallies              7.14285714286 
channels             69.696969697 
elms                 33.3333333333 
lawsuits             50.0 
perturbations        66.6666666667 
blossoms             50.0 
legs                 55.3719008264 
rewards              21.0526315789 
immensities          33.3333333333 
approximations       30.0 
anniversaries        5.26315789474 
nations              49.7872340426 
Poles                20.0 
Furies               6.66666666667 
broods               25.0 
motets               50.0 
shrubs               80.0 
corns                5.88235294118 
affairs              65.2631578947 
Them                 0.112612612613 
promenades           25.0 
doors                9.82658959538 
sores                23.0769230769 
flags                14.2857142857 
grips                28.5714285714 
shipments            88.2352941176 
transactions         50.0 
wells                0.442477876106 
dystopias            80.0 
Texans               69.2307692308 
cams                 50.0 
purges               40.0 
detectors            50.0 
memberships          2.89855072464 
drunks               7.5 
fugitives            25.0 
Anglicans            18.1818181818 
signatures           45.4545454545 
insects              60.0 
meetings             15.3846153846 
advisors             80.0 
falsehoods           50.0 
lessons              36.3636363636 
parodies             20.0 
touches              9.0 
skirmishes           20.0 
typewriters          9.09090909091 
cousins              40.9090909091 
salvos               33.3333333333 
telegrams            20.0 
societies            16.3793103448 
Senators             25.0 
greens               3.66972477064 
textbooks            20.0 
Whigs                40.0 
eyelids              87.5 
transistors          50.0 
Papers               0.649350649351 
pads                 38.4615384615 
skulls               40.0 
Dogs                 2.7397260274 
sedans               66.6666666667 
ambitions            44.1176470588 
lots                 22.8915662651 
Advances             1.69491525424 
rings                10.4166666667 
droves               1.5873015873 
pressures            16.8949771689 
stamps               33.3333333333 
claws                75.0 
felons               50.0 
parallels            2.38095238095 
Hessians             60.0 
lefthanders          33.3333333333 
pits                 22.2222222222 
conclusions          38.0434782609 
adventures           46.1538461538 
estates              7.69230769231 
installments         28.5714285714 
chains               16.3636363636 
gypsies              20.0 
holdings             5.79710144928 
sponges              14.2857142857 
ellipsoids           80.0 
Flowers              9.52380952381 
dots                 45.8333333333 
moneys               0.751879699248 
doubts               11.71875 
evasions             50.0 
adaptations          37.5 
contingencies        62.5 
skirts               12.0 
Painters             4.54545454545 
taunts               33.3333333333 
hollyhocks           50.0 
surrealists          50.0 
things               52.2693997072 
democracies          4.34782608696 
damages              2.85714285714 
babies               17.3913043478 
principals           3.1914893617 
voyages              5.88235294118 
marches              0.892857142857 
tops                 3.30188679245 
photographers        60.0 
stiffs               4.54545454545 
Apples               11.1111111111 
Traces               4.16666666667 
acoustics            50.0 
holdups              33.3333333333 
echoes               47.0588235294 
veils                27.2727272727 
opinions             31.1594202899 
absurdities          20.0 
sovereigns           9.67741935484 
spectacles           14.2857142857 
dialogues            7.69230769231 
constrictions        25.0 
collections          8.88888888889 
delinquents          33.3333333333 
weeklies             11.1111111111 
elders               47.3684210526 
constrictors         16.6666666667 
Hindus               25.0 
self-deceptions      33.3333333333 
signals              32.9411764706 
improvisations       66.6666666667 
steps                46.5020576132 
anions               50.0 
people               99.7509339975 
mosques              50.0 
consultants          38.8888888889 
sterns               4.34782608696 
emphases             3.33333333333 
enemies              22.8070175439 
gasps                62.5 
hulks                50.0 
serpents             60.0 
shakes               4.54545454545 
substitutes          18.5185185185 
secularists          50.0 
terraces             50.0 
brigades             50.0 
poppies              33.3333333333 
filaments            50.0 
accelerations        10.5263157895 
insinuations         50.0 
benches              22.2222222222 
dollars              68.5714285714 
citizens             73.3333333333 
Scrapings            12.5 
homesteads           50.0 
statements           31.884057971 
Blacks               0.531914893617 
Greeks               7.8125 
rotations            8.33333333333 
beings               4.83870967742 
magazines            43.1034482759 
raises               4.4776119403 
defendants           62.5 
ownerships           12.0 
collectors           50.0 
abstractions         31.5789473684 
serfs                2.63157894737 
Submarines           3.7037037037 
physicists           33.3333333333 
Coyotes              50.0 
rapes                20.0 
avocados             35.7142857143 
trappings            60.0 
grooms               14.2857142857 
gulps                33.3333333333 
alloys               50.0 
perfumes             9.09090909091 
manufacturers        63.4920634921 
talents              41.7910447761 
congratulations      83.3333333333 
prosecutions         10.0 
Taylors              5.88235294118 
devices              41.1111111111 
complications        55.5555555556 
Guests               9.52380952381 
servings             2.5641025641 
panels               59.2105263158 
looms                12.5 
moderns              1.54639175258 
Observations         10.0 
negotiations         76.9230769231 
crutches             85.7142857143 
crowns               5.55555555556 
developers           28.5714285714 
palms                30.7692307692 
models               42.9906542056 
spades               28.5714285714 
rockers              20.0 
packets              25.0 
affects              1.85185185185 
banners              25.0 
hangovers            33.3333333333 
reviewers            50.0 
Indians              37.8378378378 
theaters             22.4489795918 
bandits              50.0 
Films                1.0752688172 
bribes               50.0 
bicycles             28.5714285714 
carpenters           25.0 
veterans             28.9473684211 
fatigues             15.3846153846 
Nazis                48.0 
alcoholics           57.1428571429 
stays                1.72413793103 
spats                10.0 
cooks                15.0943396226 
teas                 3.33333333333 
coincidences         15.3846153846 
aviators             25.0 
loads                18.1818181818 
Tables               0.671140939597 
thinkers             50.0 
findings             38.3720930233 
trails               34.0909090909 
steaks               33.3333333333 
shirts               7.14285714286 
phosphates           12.5 
excerpts             45.4545454545 
unifications         10.0 
axes                 58.3333333333 
freaks               33.3333333333 
crooks               40.0 
by-products          40.0 
climbs               7.69230769231 
costumes             64.2857142857 
